"","home","Pts","X1stD","TotYd","TOLost","TOGained","Cmp","SkYds","QBR","RA","Pnt","ToP","X3DRate"
"1",1,13,20,325,4,4,32,13,52.1,24,6,1971,0.4
"2",0,14,16,210,1,2,14,32,81.2,21,7,1391,0.2
"3",1,30,24,365,2,2,23,3,77.8,37,3,2090,0.4375
"4",1,20,19,349,1,2,23,28,81.5,28,7,1970,0.4375
"5",0,6,23,341,3,0,23,2,45.9,28,4,1996,0.428571428571429
"6",1,20,20,300,0,1,18,15,85.8,35,6,2003,0.411764705882353
"7",0,17,19,285,1,0,13,2,89.3,32,4,1721,0.5
"8",1,20,15,246,0,4,25,7,111.5,29,5,2188,0.4
"9",0,20,22,332,0,0,30,23,92.2,24,10,2103,0.142857142857143
"10",1,17,15,304,1,0,27,0,84.7,12,5,1445,0.1
"11",0,36,24,431,0,2,22,0,113.3,35,5,2057,0.375
"12",0,19,18,288,1,2,18,18,63.7,36,4,2026,0.352941176470588
"13",0,13,14,327,3,3,18,40,47.8,24,4,1619,0.0909090909090909
"14",1,13,14,224,2,1,21,26,38.4,21,8,1696,0.352941176470588
"15",1,25,19,335,1,2,28,17,105.1,28,7,1988,0.285714285714286
"16",0,6,10,184,1,1,19,18,50.3,15,9,1515,0.142857142857143
"17",1,13,21,335,1,1,18,28,66.5,26,4,1786,0.166666666666667
"18",0,16,14,367,2,1,22,23,77.1,19,7,1548,0.294117647058824
"19",1,7,17,244,2,1,16,34,58.3,26,8,1729,0.285714285714286
"20",1,10,14,172,1,2,20,37,61.1,17,8,1490,0.333333333333333
"21",0,3,22,424,1,1,29,22,74.9,24,5,1841,0.230769230769231
"22",0,7,13,265,2,1,20,1,64.6,21,5,1564,0.384615384615385
"23",1,31,21,323,1,2,20,35,71.9,31,7,1883,0.3125
"24",0,13,23,383,1,0,23,22,70.7,35,7,2218,0.214285714285714
"25",0,13,17,281,2,1,15,7,73.4,32,5,1653,0.333333333333333
"26",1,7,13,185,3,2,20,38,56.6,17,10,1500,0.333333333333333
"27",1,20,12,272,2,3,17,17,81,22,7,1561,0.230769230769231
"28",0,0,10,157,2,0,12,30,52.5,23,8,1435,0.230769230769231
"29",0,13,19,281,1,1,12,26,46.2,31,5,1711,0.214285714285714
"30",1,13,18,305,0,1,25,19,93.5,24,7,1797,0.153846153846154
"31",0,0,15,232,0,1,9,23,45.8,36,7,1845,0.375
"32",1,27,18,311,2,0,14,26,46.2,25,6,1492,0.333333333333333
"33",0,23,14,250,0,3,17,25,100.9,26,5,1806,0.333333333333333
"34",1,31,23,452,3,1,26,9,116.5,27,3,1884,0.583333333333333
"35",0,6,12,160,2,1,18,51,33.6,17,6,1564,0.230769230769231
"36",1,19,15,286,1,3,17,12,73.5,27,4,1808,0.384615384615385
"37",1,17,12,242,1,1,7,10,67.8,32,7,1538,0.285714285714286
"38",0,14,22,462,1,0,26,15,89.7,27,3,2003,0.230769230769231
"39",1,20,19,354,1,0,21,9,81.2,22,2,1622,0.363636363636364
"40",1,7,17,326,2,0,23,25,74.9,23,4,1866,0.3
"41",0,24,27,458,1,0,28,16,105.6,37,4,2445,0.4375
"42",1,13,15,281,3,0,23,3,67.1,20,5,1617,0.3125
"43",0,31,15,367,1,4,8,11,97.9,34,6,1689,0.272727272727273
"44",1,16,16,293,0,1,26,13,79.9,27,9,2140,0.1875
"45",0,15,17,285,1,2,19,2,62.7,27,8,1764,0.411764705882353
"46",1,22,29,432,2,0,35,32,91.9,18,4,1773,0.230769230769231
"47",0,28,14,285,2,5,13,0,81.7,27,7,1441,0.363636363636364
"48",0,13,20,331,1,0,25,0,74.7,19,5,1631,0.181818181818182
"49",1,27,20,366,2,2,27,0,100.7,24,3,1715,0.363636363636364
"50",0,24,24,421,1,0,32,0,87.8,18,6,1783,0.411764705882353
"51",0,7,17,232,1,1,29,43,75,12,5,1592,0.0769230769230769
"52",1,11,14,188,2,2,19,32,55.9,19,11,1695,0.176470588235294
"53",1,34,22,351,0,3,19,14,103.6,36,7,2119,0.421052631578947
"54",0,38,15,216,0,4,12,0,134.6,25,3,1490,0.428571428571429
"55",0,15,15,317,3,0,23,20,87.1,21,4,1600,0.307692307692308
"56",1,9,23,339,2,0,15,19,34.2,37,4,2289,0.357142857142857
"57",1,21,21,363,2,2,20,7,83.4,32,5,1971,0.384615384615385
"58",0,38,12,372,1,5,9,15,140.6,37,5,1838,0.466666666666667
"59",1,42,20,406,0,3,10,19,83.1,29,2,1431,0.4
"60",0,13,19,312,1,1,19,20,63.3,26,5,1616,0.307692307692308
"61",0,10,14,257,2,1,16,24,44.8,19,5,1493,0.272727272727273
"62",1,27,17,302,0,3,14,0,126.7,34,4,1668,0.5
"63",1,23,18,277,2,2,16,10,97.5,39,2,2046,0.428571428571429
"64",0,9,11,158,2,0,21,12,63.9,18,7,1580,0.181818181818182
"65",1,6,15,318,2,0,24,27,63,22,6,1903,0.285714285714286
"66",0,19,20,339,1,1,22,15,96.9,29,2,1925,0.454545454545455
"67",1,31,26,448,3,2,30,0,98,30,1,1970,0.615384615384615
"68",0,28,29,466,3,3,29,34,100.8,23,5,1979,0.5
"69",1,17,19,309,1,1,21,20,63.2,24,8,1882,0.357142857142857
"70",1,28,18,275,0,0,18,0,132.7,27,3,1656,0.444444444444444
"71",0,7,13,200,1,1,15,44,68.1,19,6,1462,0.272727272727273
"72",0,13,13,193,2,2,13,3,44.1,27,6,1654,0.333333333333333
"73",0,14,16,244,3,1,17,42,56.8,22,7,1600,0.1
"74",1,22,16,337,0,2,20,14,100.6,33,6,2150,0.352941176470588
"75",0,24,16,317,3,3,19,7,56.5,24,4,1731,0.428571428571429
"76",1,52,17,348,0,5,13,7,115,26,6,1384,0.125
"77",0,24,19,329,0,2,16,15,130.5,30,4,1969,0.5
"78",1,6,13,280,2,0,20,18,56.7,20,8,1536,0.266666666666667
"79",1,27,23,387,3,0,24,9,109,20,4,1513,0.166666666666667
"80",0,6,15,245,3,2,26,40,61,19,5,1729,0.25
"81",1,34,19,352,3,1,18,21,112.6,26,3,1712,0.545454545454545
"82",0,10,11,213,0,1,17,4,75.8,13,8,1336,0.166666666666667
"83",1,6,12,258,1,1,19,10,69.2,18,4,1661,0.2
"84",0,24,13,328,0,3,16,7,125.7,26,7,1607,0.384615384615385
"85",0,10,17,334,4,3,12,18,24.7,36,4,2023,0.277777777777778
"86",1,24,16,308,1,4,15,13,83.6,26,5,1467,0.111111111111111
"87",1,27,16,388,1,0,14,0,101.9,41,8,1918,0.0833333333333333
"88",0,18,18,320,0,1,18,8,67.7,36,8,1947,0.125
"89",1,13,12,285,2,2,17,9,50.6,21,6,1538,0.285714285714286
"90",0,13,13,213,4,2,12,5,74.4,29,8,1628,0.230769230769231
"91",0,7,19,345,3,1,36,8,54.8,17,5,1793,0.4
"92",1,3,9,212,1,0,15,0,43.3,15,8,1213,0.0833333333333333
"93",1,21,15,317,2,1,14,10,57.8,29,6,1570,0.363636363636364
"94",1,31,16,319,0,2,14,13,158,33,5,1720,0.2
"95",0,23,14,205,0,3,14,0,86,30,6,1674,0.416666666666667
"96",0,16,21,364,0,1,22,0,75.7,33,5,2310,0.230769230769231
"97",0,0,10,185,2,1,17,10,33,23,10,1670,0.2
"98",1,9,17,283,0,1,18,20,82.5,25,6,1797,0.25
"99",0,37,18,320,2,2,14,7,85.9,33,5,1584,0.461538461538462
"100",0,17,12,288,1,5,18,19,108.6,23,6,1671,0.428571428571429
"101",1,19,23,345,3,0,21,28,64.3,29,2,2134,0.333333333333333
"102",0,28,23,387,1,0,27,10,125.4,22,2,1668,0.666666666666667
"103",1,10,20,345,4,1,32,20,48.5,20,7,2103,0.473684210526316
"104",1,10,18,339,1,0,27,16,74.5,17,5,1548,0.285714285714286
"105",0,9,16,280,0,1,17,10,70.8,34,7,2069,0.352941176470588
