"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"2","34","19","352","276","76","3","18","27","2","21","112.6","26","3","142","6","11","0","0","28:32"
"3","10","11","213","146","67","","17","32","1","4","75.8","13","8","381","2","12","0","1","22:16"
"4","6","12","258","187","71","1","19","29","2","10","69.2","18","4","170","2","10","0","2","27:41"
"5","24","13","328","164","164","","16","24","1","7","125.7","26","7","348","5","13","0","0","26:47"
"6","10","17","334","143","191","4","12","31","3","18","24.7","36","4","181","5","18","1","1","33:43"
"8","24","16","308","150","158","1","15","23","2","13","83.6","26","5","244","1","9","0","0","24:27"
"9","27","16","388","191","197","1","14","23","0","0","101.9","41","8","436","1","12","0","0","31:58"
"10","18","18","320","160","160","","18","33","1","8","67.7","36","8","372","2","16","1","1","32:27"
"11","13","12","285","191","94","2","17","37","1","9","50.6","21","6","296","4","14","0","2","25:38"
"12","13","13","213","131","82","4","12","26","1","5","74.4","29","8","367","3","13","0","0","27:08"
"13","7","19","345","251","94","3","36","53","1","8","54.8","17","5","225","6","15","1","3","29:53"
"14","3","9","212","146","66","1","15","35","0","0","43.3","15","8","436","1","12","1","2","20:13"
"15","21","15","317","114","203","2","14","22","1","10","57.8","29","6","284","4","11","0","0","26:10"
"16","31","16","319","221","98","","14","17","2","13","158.0","33","5","220","2","10","0","0","28:40"
"17","23","14","205","103","102","","14","23","0","0","86.0","30","6","240","5","12","0","0","27:54"
"18","16","21","364","231","133","","22","38","0","0","75.7","33","5","259","3","13","0","1","38:30"
"21","0","10","185","120","65","2","17","35","2","10","33.0","23","10","431","3","15","1","2","27:50"
"31","9","17","283","219","64","","18","30","3","20","82.5","25","6","237","3","12","0","0","29:57"
"41","37","18","320","183","137","2","14","26","1","7","85.9","33","5","256","6","13","0","0","26:24"
"51","17","12","288","247","41","1","18","30","2","19","108.6","23","6","277","6","14","0","1","27:51"
"61","19","23","345","243","102","3","21","31","4","28","64.3","29","2","109","4","12","0","2","35:34"
"7","28","23","387","311","76","1","27","32","1","10","125.4","22","2","94","6","9","0","1","27:48"
"81","10","20","345","271","74","4","32","53","3","20","48.5","20","7","322","9","19","1","1","35:03"
"101","10","18","339","280","59","1","27","46","4","16","74.5","17","5","243","4","14","2","3","25:48"
"111","9","16","280","155","125","","17","30","3","10","70.8","34","7","362","6","17","0","0","34:29"
